Removed Pin From Net: NetName=GND Pin=C18-2
Removed Pin From Net: NetName=12V Pin=D8-1
Removed Pin From Net: NetName=NetC17_1 Pin=D8-2
Removed Pin From Net: NetName=3.3V Pin=R8-1
Removed Pin From Net: NetName=GND Pin=U3-3
Removed Pin From Net: NetName=NetC17_1 Pin=U3-4
Removed Pin From Net: NetName=3.3V Pin=U3-5
Removed Pin From Net: NetName=3.3V Pin=U3-6
Removed Pin From Net: NetName=NetC17_1 Pin=U3-8
Removed Member From Class: ClassName=U_MCU_POWER Member=C18
Removed Member From Class: ClassName=U_MCU_POWER Member=R35
Change Component Footprint: Designator=U3 Old Footprint=D0008A_L New Footprint=TRACO-SIP-3_V
Change Component Footprint: Designator=D8 Old Footprint=SMB New Footprint=FP-SMA-MFG
Change Component Comment : Designator=C17 Old Comment=2.2uF New Comment=2.2uF, 20V
Change Component Comment : Designator=U3 Old Comment=LP2989AIM-3.3/NOPB New Comment=TSR 1-2433
Change Component Comment : Designator=D8 Old Comment=S1BB-13-F New Comment=STPS1H100A
Change Component Designator: OldDesignator=R35 NewDesignator=R8
Change Managed Component Library Link : Designator=U3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8AADE1A5-B536-47A7-A849-F98D71FA6460 New ItemGUID=E9367B37-A197-47D5-BAE6-E2E786832EE6 Old RevisionGUID=F02B8B0F-B018-46F2-B7FC-DE92CDB5B4D1 New RevisionGUID=540DA8E3-D5DC-4403-AABC-1080C4D8A8E6
Change Managed Component Library Link : Designator=D8 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=A1480E3D-3122-4DEC-8625-5A92D05698F6 Old RevisionGUID= New RevisionGUID=31AC356E-3349-4426-ACEE-0C02E1AAE310
Change component parameters: Designator = "D8" ("D8"); Footprint = "SMB"; UniqueID = "\UTPDAKUN\BTGUTJBE" ("\UTPDAKUN\BTGUTJBE")
Change component parameters (AddParameter): Name = "Package"; Value = "SMA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Reverse Current"; Value = "4uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standoff Height"; Value = "0.05mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "to +175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+175°C"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "D0008A_L"; UniqueID = "\UTPDAKUN\PKRSZQKU" ("\UTPDAKUN\PKRSZQKU")
Change component parameters (AddParameter): Name = "Approvals & Standards"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://datasheet.ciiva.com/6815/tsr1-6815641.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Jan-15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC / DC Converter Mounting"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC / DC Converter Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC / DC Converter Type"; Value = "SIP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "11.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "10.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Voltage DC Max"; Value = "36V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Voltage DC Min"; Value = "4.75V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Tracopower"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.tracopower.com/home"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "No. of Outputs"; Value = "1Output"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current Max"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Power Max"; Value = "3.3W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage Nom."; Value = "3.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "3-Pin Single In-line Package, Body 11.7 x 7.6 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "SIP-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "TSR-1Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "NoSVHC(17-Dec-2015)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "7.6mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetC17_1 Pin=D8-1
Added Pin To Net: NetName=12V Pin=D8-2
Added Pin To Net: NetName=NetC17_1 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=3.3V Pin=U3-3
